epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,958.004,0.6761,0.97743,1,0.08307,0.000368673,0.000368673,0.000368673
2,2063.96,0.1708,0.97841,1,0.06584,0.000665844,0.000665844,0.000665844
3,3236.25,0.12681,0.98822,1,0.04406,0.00088969,0.00088969,0.00088969
4,4396.87,0.10608,0.98626,1,0.05379,0.000781033,0.000781033,0.000781033
5,5441.5,0.08057,0.98626,1,0.04258,0.000671044,0.000671044,0.000671044
6,6351.61,0.05065,0.98822,1,0.02724,0.000561055,0.000561055,0.000561055
7,7219.37,0.04818,0.98332,1,0.04304,0.000451066,0.000451066,0.000451066
8,8053.96,0.05139,0.99215,1,0.02392,0.000341077,0.000341077,0.000341077
9,8890.41,0.03755,0.99019,1,0.02631,0.000231088,0.000231088,0.000231088
10,9712.74,0.0378,0.99117,1,0.02511,0.000121099,0.000121099,0.000121099
